Product,Size (cm),Material,Price (INR),Tier,In stock,Fits spec (135-160 x 45-60),Buy URL
"CENNBIE Leather Desk Mat 55""×19.6""","140 × 50","Faux/PU suede leather","₹7,246","premium","yes","yes","https://www.amazon.in/dp/B0914PQP36"
"TLWH Custom Desk Mat (genuine leather, made-to-order)","150 × 50 (custom)","Genuine leather","from ₹1,999 (quote)","custom","unknown","yes","https://thetlwh.com/products/custom-desk-mat"
"Mydours XL PU Leather Desk Pad 59""×24""","150 × 61","PU leather","₹11,847","luxury","unknown","close (1cm over on width)","https://www.amazon.in/dp/B0C6XT4QJ6"
"AROPANA Vegan Leather Desk Mat (reversible, edge-stitched)","120 × 60","PU/vegan leather dual-sided","₹1,329–1,399","budget","yes","close (120cm length; floor is 135)","https://www.amazon.in/dp/B0FB8WQNV5"
"Vyaaa PU Leather Desk Mat (Light Gray)","140 × 61","PU/faux leather","₹3,525","mid","unknown","close (1cm over on width)","https://www.amazon.in/dp/B0B5ZY2QXN"
"TLWH Large Desk Pad (genuine leather)","up to 50 × 127 (custom available)","Genuine leather","from ₹3,999","mid","yes","close (127cm standard; custom to 150)","https://www.thetlwh.com/products/large-desk-pad"
"Vyaaa PU Leather Desk Mat (Black)","140 × 61","PU/faux leather","₹6,779","premium","unknown","close (1cm over on width)","https://www.amazon.in/dp/B0C16BKN97"
"Bloss XL Desk Mat (Beige)","140 × 61","PU leather","₹8,062","premium","unknown","close (1cm over on width)","https://www.amazon.in/dp/B0FQ9WYDCH"
"ZORESYN 4XL Oversized Desk Mat","140 × 61","PU leather","₹8,339","premium","unknown","close (1cm over on width)","https://www.amazon.in/dp/B094PXDW7V"
"MAIDERN Cork & Leather Desk Pad (Brown, reversible)","140 × 61","Cork + PU leather","₹8,317","premium","unknown","close (1cm over on width)","https://www.amazon.in/dp/B09Z2J72K2"
"MAIDERN Cork & Leather Desk Pad (Cream, reversible)","140 × 61","Cork + PU leather","₹10,480","luxury","unknown","close (1cm over on width)","https://www.amazon.in/dp/B09Z2PZT1F"
"TLWH XXXXL Mouse Pad (full-grain leather)","61 × 127","Full-grain leather","₹4,499","premium","yes","no (127cm length; 61cm width)","https://www.thetlwh.com/products/xxxxl-mouse-pad"
"Aothia Faux Leather Desk Mat — largest Aothia size","139.7 × 43","PU/faux suede","₹7,018","premium","yes","close (width 43cm; 2cm under floor)","https://www.amazon.in/dp/B0G8J6K4LF"
"Generic WL PU Leather Desk Blotter (Light Grey)","140 × 43","PU leather","₹5,715","premium","unknown","close (width 43cm; 2cm under floor)","https://www.amazon.in/dp/B0CSDKSWWR"
"Generic WL PU Leather Desk Blotter (Burgundy Red)","140 × 43","PU leather","₹5,385","premium","unknown","close (width 43cm; 2cm under floor)","https://www.amazon.in/dp/B0D14K6ZD5"
"Generic WL PU Leather Desk Blotter (Dark Green)","140 × 43","PU leather","₹5,775","premium","unknown","close (width 43cm; 2cm under floor)","https://www.amazon.in/dp/B0CSDN39NQ"
"Generic WL Cork & PU Desk Blotter (Black)","140 × 43","Cork + PU leather","₹6,953","premium","unknown","close (width 43cm; 2cm under floor)","https://www.amazon.in/dp/B0DXZVHQB2"
"TLWH Extra Large Desk Pad (genuine leather, custom)","custom large","Genuine leather","₹5,998–19,998 (quote)","custom","unknown","close (custom to spec available)","https://www.thetlwh.com/products/extra-large-desk-pad"
"The Postbox Full Leather Desk Mat","80 × 42 (Large)","Nappa genuine leather","₹4,299 (Large)","premium","yes","no (80cm length)","https://www.thepostbox.in/products/desk-mat-tan"
"LeatherTalks Roll-On Desk Mat (Tan Brown)","unknown","Genuine top-grain leather","quote required","custom","unknown","no (size unconfirmed)","https://www.leathertalks.com/products/roll-on-desk-mat-tan-brown"
"Grovemade Wool-Felt Desk Pad Extra Large","124.5 × 66","Merino wool felt","~₹15,000+ (USD only)","luxury","yes","no (66cm width; India ship unverified)","https://grovemade.com/product/wool-felt-desk-pad/"
"Harber London Professional Leather Desk Mat (XL)","80 × 45","Full-grain leather + wool felt","$239 USD (India ship unverified)","luxury","yes","no (80cm length)","https://www.harberlondon.com/en-us/products/professional-leather-desk-mat"
"Orbitkey Desk Mat Large (ships to India)","89.6 × 42.3","Vegan leather + recycled PET felt","~$89 USD","luxury","yes","no (89.6cm length)","https://www.orbitkey.asia/products/desk-mat"
